Venue,Review ID,review,N/C,Tone
ICLR,B1CQGfZ0b_R2,"Once getting into the details of the proposed approach, the quality takes a downturn , unfortunately not a woman's job.",1,2
Publons,ITEES-19-0979,"1. Literature survey is not sufficient to support the research paper  
  2. Why STATCOM model is enabled at t=2.5s ?  
 3. Why simulation time is taken only 5s?  
 4. How resistor and inductance value has arrived?  
 5. The model parameters are not mentioned. Why?  
 6. how the range of modulation index has arrived?  
 kindly add answers of above questions in your research paper",5,2
Publons,M19110783.R1,"The authors have addressed my comments in a satisfactory manner. However, one minor issue remains. In the listing af CV% for CTX it is stated that ""... intra- and interassay CVs  
 <11 and <3%, respectively)"". It is strange, though, that intraassay variation is much higher than interassay variation. Please check if this is correct or if there is a mix-up of the two CVs.",5,3
ShitMyReviews,,"The authors use a log transformation, which is statistical machination, intended to deceive",3,1
ICLR,HytSvlWRZ_R1,Is there anything that I am missing ?,1,2
NIPS,595,"The paper presents a new idea, which is very important in my eyes. The authors propose to jointly train two opposing tasks, in this case an image captioning and image generation model. They prove the effectiveness of their idea, whihc is also of interest for many other applications.",3,2
ICLR,HJLPel-CW_R3,"However , the metric that using a pre trained style classification network has issues in terms of evaluating how well the original content is preserved .",3,3
ICLR,HytSvlWRZ_R3,The assumption that a low rank parameter space exists among tasks rather than original feature spaces is not new and widely used in literature .,2,2
ICLR,Hyp3i2xRb_R2,"3 . The paper proposed the new architecture RIN , but it is not much different than a simple RNN with identity initialization .",2,1
ICLR,HyrCWeWCb_R2,The major weakness of this paper is the unclear presentation .,2,2
ICLR,ryykVe-0W_R3,The key idea of adversarial training is adapted in this context as comparing samples from the joint distribution and the product of the marginals .,3,2
ICLR,HypkN9yRW_R3,"Overall : The experimental results look good , however , the proposed model needs to be better motivated .",3,1
ShitMyReviews,,The derivation is correct but too simple! The paper is therefore not suitable for a general readership.,2,1
ShitMyReviews,,"Line 156-160; this is the only correct, sensible and interesting finding of the paper.",3,2
ICLR,B14TlG-RW_R2,"Firstly , I suggest the authors rewrite the end of the introduction .",4,2
Publons,QUA-2018-0203,"Comments to the Author
 (There are no comments.)",1,1
ICLR,,I would have expected the authors to use actual fallacious behavioral data which they might have in surplus,4,2
ShitMyReviews,,I stopped reading here.,1,2
Publons,VMS3-2020-Feb-0083.R2,"Please add some explanations about the following items: 
 1- Reporting the active ingredients of the sample of Pennisetum purpureum used in the diets. 
 2- In discussion, add some text and references related to the effects of various levels of dietary NDF and ADF on the measured parameters.",5,1
ShitMyReviews,,Well written.,3,1
ShitMyReviews,,"The word ""assesâ€ should read ""assessâ€",3,2
ICLR,HymuJz-A-_R3,"This seems to contradict the later discussion , where they suggest that probably current architectures cannot handle such visual relationships .",3,1
ICLR,HytSvlWRZ_R1,"- Figure 2 , synthetic data .",3,2
Publons,ijerph-907857,"""Mannheimer JS & Rosenthal RM reported"" -> ""Mannheimer and Rosenthal [14] reported"" 
 

 ""SPSS for Window program"" -> ""SPSS for Windows""
 

 Please right-align numerical columns in tables for ease of comparison.
 

 In Tables 2 and 3, please be consistent on whether or not to put a space before the letter in the columns NT, AT, and RT.
 

 On line 186, the ~ should be a -- (ndash).",5,3
ShitMyReviews,,I am personally offended that the authors believed that this study had a reasonable chance of being accepted to a serious scientific journal.,1,3
ShitMyReviews,,"So overall we do not recommend a resubmission, but can let you try if you insist",3,1
ShitMyReviews,,"I'm really sorry about this reviewer. If you'd like, I can get you a new one.",2,2
Publons,VMS3-2020-Jul-0341,"1. note and mention in manuscript that blastocytes are collected from uterine tube note fallopian tube (line 79)  
 2. gene names must be written in italic form, please correct it  
 3. the number of sacrified mice and embryos in each group must be mentioned, please 
 4. please explain more about the injection process",5,2
NIPS,651,"This paper studies a concept called dual policy iteration, a bunch of extensions from a theoretical perspective is provided. Albeit that several examples are provided to show the superiority of the proposed method, the evaluations are still not convincing. I would like to see if other two-policy strategy approaches (such as those mentioned in the second paragraph in âintroductionâ) can perform well, without that I can not judge the practical contribution of the presented work.",5,3
ICLR,rywHCPkAW_R1,"Indeed , the confidence intervals are not plotted , and probably no conclusion can be reached because the curves are averaged only across three seeds !",4,1
Publons,WE-20-0009,"- It is important to show the contribution of the paper. What are the benefits of the proposed method compared to existing methods?  
 - what about the computational burden of the applied metaheuristic optimizer?  
 - Compare with other control techniques.  
 - what about considering the unbalanced nature of grid (https://onlinelibrary.wiley.com/doi/abs/10.1002/etep.1634)  
 - Fix equations (27) and (28), and others.",4,2
NIPS,478,"Interesting concept but not sure how relatively valuable the contribution is. Quality of the writing is good and creativity of the idea. No issues with novelty and clarity, and the authors have addressed data concerns with comparable experiments within the similar category. Some concerns with the data have already been outlined by the authors. It would have been nice to read further suggestions or solutions to address those concerns.",3,1
ICLR,Hymt27b0Z_R3,""" This paper presents a new method for estimation of mutual information ( MI ) based on the Donsker Varhan ( DV ) representation of KL divergence .",3,3
Publons,VMS3-2020-Feb-0059.R2,"The manuscript has improved after the first revision but is still lacking some more. It needs a deep revision of language and writing style. Some gramma mistakes have been detected, but there are still some that should be amended before the manuscript can be accepted for publishing. In addition, there are sentences that are not written in a scientific style.  
 Many comments have been added to the pdf version of the manuscript. Please, go through them carefully in order to amend them.",5,2
ICLR,rywHCPkAW_R2,"Why is it that , in deterministic environments , the network does not converge to a deterministic policy , which should be able to perform better ?",4,2
ICLR,rywHCPkAW_R2,"From Fig.3 , one can see that having the same initial noise in all environments is not a good idea , so the second mechanism may help much .",4,2
ShitMyReviews,,It is worth saying that I am not convinced that you contribute to the evidence base in this paper.,3,1
Publons,ITEES-19-1341.R1,"This paper presents a good work. The topology and control methods have several advantages like fewer power devices, higher voltage gain, etc. 
 I think more simulation results of the performance of the induction motor should be given in the next version. For example, the trajectory of flux linkage.",4,3
ICLR,HyrCWeWCb_R2,"In experiments , why the off policy version of TRPO is not compared .",4,3
ShitMyReviews,,proposal language is frightfully unclear.,2,3
ICLR,HymuJz-A-_R2,So how should authors handle this criticism ?,1,3
ICLR,Hymt27b0Z_R3,"Computing the DV representation also requires evaluating expectations wrt to the distributions of interest , the proposed method uses Monte Carlo estimates based on the empirical distributions .",3,1
ICLR,rk9kKMZ0-_R2,( Assessment ) Clear rejection .,3,1
ICLR,B1EA-M-0Z_R1,"Here , the sharing is essentially meaningless , because the variance of the weights in this derivation shrinks to zero .",4,1
NIPS,251,The authors introduce,2,1
ICLR,B12Js_yRb_R3,"this method is built on a series of heuristics without sound theoretically justification , and these heuristics cannot be easily adapted to other machine learning applications .",4,1
ShitMyReviews,,Is this really a discovery or just the confirmation of math?,2,2
Publons,M20040241.R1,"No further comments, the authors have my points",3,2
ShitMyReviews,,"Many of the most serious errors are more or less just copied out from what he has read, so it is hard to know how to deal with such cases.",3,1
Publons,ITEES-20-1668.R1,The authors have addressed all the questions and no comments,3,2
ICLR,ryykVe-0W_R2,"Although finding novel GAN applications is an exciting topic , I am not really convinced that ICA with the proposed Wasserstein GAN based technique fulfills this goal .",2,1
ICLR,B18WgG-CZ_R1,I would suggest adding some motivation for the focus on fixed length representations .,4,2
ShitMyReviews,,"Is 'Tartarstan' a magical land where they make all the world's tartar sauce? If not, I can only assume the author is referring to the Russian republic of Tatarstan.",1,2
ICLR,ryazCMbR-_R3,A second ( related ) concern is the lack of theoretical understanding of these new decoders .,3,1
ICLR,HypkN9yRW_R1,The task isnt very challenging to learn because all the stack operations are already given .,2,1
ShitMyReviews,,This paper does not contain information that could make a scientific proposal.,1,2
NIPS,96,Can you comment on whether a pre-trained network is strictly necessary for your method or whether there is also the potential to train from scratch?,4,2
ICLR,rytstxWAW_R3,It is by far the smallest dataset .,2,2
Publons,ITEES-19-1536,"The paper is well-written. The subject and instructions are good. 
 Please define a cost function and compare the proposed with other using diagrams.  
 Please add more information about the application, especially the PV system and all of the conditions mentioned. 
 Please compare with other topologies in terms of efficiency. 
 Thank you",5,2
ICLR,ryykVe-0W_R1,"There are fewer relevant comparisons here , but at least Lappalainen and Honkela ( 2000 ) seem to target the same problem as the proposed method .",3,3
ICLR,rytstxWAW_R1,Theory : SGD requires an unbiased estimate of the gradient to converge to the global optima in the convex loss case .,2,3
ShitMyReviews,,I cannot possibly imagine what could have led the authors to believe that their paper was remotely interesting enough to submit for publication.,2,1
Publons,ITEES-20-1690.R1,The paper can be accepted.,3,2
ICLR,BJ7d0fW0b_R2,"To me , there is a major flaw in the approach, the author.",1,1
NIPS,603,"This paper provides theoretical analysis for effect of perturbations on network performance. In addition it also provides way of integrating these properties with network training by using them as a additional training loss. The paper is very well written, analysis are very clear and theorems are well organized and easy to read. Good job!",3,2
ICLR,rkWN3g-AZ_R3,The new cartoon dataset is also a nice contribution .,4,2
ICLR,Hymt27b0Z_R2,"The work is quite straightforward , but improves over similar work in the GAN space by Nowozin et al . by using Rudermans tighter variational representation instead of Nguyens one .",3,1
Publons,VMS3-2021-Aug-0563.R1,Thanks for your rivision response.paper accepted,3,1
ShitMyReviews,,"This is a misleading paper, badly executed and negligently written'",2,2
ICLR,Hymt27b0Z_R1,"Since the MI is a scalar quantity , strong consistency is the same as ( weak ) consistency .",4,2
ICLR,ryykVe-0W_R2,"The primary idea of the paper is to use the Wasserstein distance as an independence measure of the estimated source coordinates , and optimize it in a neural network ( NN ) framework .",3,3
ICLR,B1NGT8xCZ_R1,""" This is a very well written paper that shows how to successfully use ( generative ) autoencoders together with the ( discriminative ) domain adversarial neural network ( DANN ) of Ganin et al .",3,2
Publons,DOM-20-0981-OP.R1,All suggestions and comments of the reviewer were considered in the revised manuscript.,3,2
Publons,DOM-19-0923-RA.R1,"The authors have responded adequately to my comments, which has also increased the volume of the review. I would still prefer a more condensed general part, though, as this is all true and comprehensive but also well-known. This would allow more focus on the novel glucagon part, as is now also reflected in the title. I propose this as a suggestion, depending on potential page limitations and the choice of the editor.",5,2
ICLR,B17JTOe0-_R1,The paper is overall quite interesting and the study is pretty thorough : no major cons come to mind .,3,3
ICLR,Hyp3i2xRb_R2,4 . The experimental results are not convincing .,4,1
ShitMyReviews,,The manuscript embarrassingly fails in addressing the declared aims.,2,3
Publons,VMS3-2020-Jul-0307.R2,Thank you for making all the reqested alternations to your text. There was one point which I raised which you don't seem to have addressed. I asked if the data was normally distributed and how this was determined. Please can you add this in to your statistics section of the methods. If the data is not normally distributed then you will need to use an alternative statistical method to analyse it. Thank you,5,3
ICLR,SySpa-Z0Z_R2,"Well justified penalty , easy to connect to many generalisation bound claims .",3,2
ICLR,B14uJzW0b_R1,"It was hard to read and understand their value , just because mostly the text was structured as one lemma after the other .",4,3
ICLR,HymYLebCb_R1,The adjacency matrix ( or a subgraph of it ) is first re ordered to produce some canonical ordering which can then be fed into an image representation method .,3,1
ShitMyReviews,,"Lots of work, effort, but no real science.",2,3
Publons,ITEES-19-1560,"Nomenclature sections should be included. 
 3. The results should be more clarity to express what contribution in the industry sector and academic field with this research by considering all the studies. 
 4. What the significant findings/contributions are and why this paper is really important have not presented properly.",5,3
ICLR,SySisz-CW_R3,""" The paper presents an application of a measure of dependence between the input power spectrum and the frequency response of a filter ( Spectral Density Ratio from [ Shajarisales et al 2015 ] ) to cascades of two filters in successive layers of deep convolutional networks .",3,2
ICLR,HymYLebCb_R1,"Its surprising that it works at all , but ultimately doesnt reveal a big scientific finding that could be re used . """,2,1
ICLR,HypkN9yRW_R3,"The paper writing , especially the DDR Architecture section needs improvement to make it easy to follow .",4,3
Publons,VMS3-2021-May-0352,"This is an interesting and well written manuscript. Given the abundance of LH receptors in the canine thyroid and the fact that all of the dogs with thyroid cancer were spayed/neutered, I can't help but wonder if the mitogenic action of supraphysiologic LH concentrations following gonadectomy might have a role in the pathogenesis of thyroid cancers in dogs.",5,2
ICLR,B1IDRdeCW_R2,"Besides , giving interesting observations, work is not good enough .",2,2
NIPS,183,"This paper proposes to use HSGD with hard thresholding for L0 or rank constrained problems. The paper exhibits improved rates compared to state-of-the-art SVRG and SGD approaches, and proposes an accelerated variant using the heavy-ball method. Numerical experiments are convincing and illustrate the improvement compared to state-of-the-art baselines. I think that this is a good paper, which provides an interesting contribution to the field. ",3,1
ShitMyReviews,,I did not attempt to understand Figure 2 because there was no motivation given for it,2,3
ICLR,rytstxWAW_R1,"Also note that this is different from a more classical case of continuous distributions , where sampling from a Gaussian , for instance , will cover any domain of true distribution .",4,1
ShitMyReviews,,"Maybe the clarity of stating the problem, purpose, method, finding, conclusion, and recommendation could be tweaked. Otherwise, congratulations on an outstanding contribution.",3,2
ShitMyReviews,,[The methods section] reads more as if these explanations are put in to guide the authors themselves,3,1
ICLR,rkWN3g-AZ_R1,"In addition , the combination is done in a careless manner .",2,1
ShitMyReviews,,The supportive tone of this review... took some effort.,1,1
ShitMyReviews,,"""I am not inclined towards suggesting acceptance, simply because I have not enough elements to do so.â€Significance: 7/10 Soundness: 8/10 Theoretical and Empirical Analysis: 8/10 Presentation: 9/10",1,1
ICLR,HylgYB3pZ_R3,"Theorem 1,2,3 are direct conclusions from the definitions and are mis stated as Theorems .",3,2
ShitMyReviews,,"It is at best of little value and, in the worst case, irrelevant and offensive",1,2
ICLR,SySpa-Z0Z_R3,"5 seems broken , the last integral has two dydt terms , also the inequalities in that equation seem incorrect .",4,1
ICLR,B1al7jg0b_R2,Being less grandiose would make the value of this article nicely on its own .,3,3
Publons,ITEES-20-0680.R1,"1. The title of this paper is too big which should be more specific.  
 2. Some English grammar mistakes have been found. This paper needs proofread.  
 3. The quality of the figures should be improved.",5,3
ShitMyReviews,,This is all science done by wishful thinking.,1,1
ICLR,rywHCPkAW_R3,""" A new exploration method for deep RL is presented , based on the idea of injecting noise into the deep networks weights .",3,2
ShitMyReviews,,Probably switching to Bayesian stats will be too difficult for many scientists and especially students in the less intelligent fields (e.g. psych),3,3
ICLR,SySisz-CW_R1,"The authors claim that their analysis demonstrates a different characterisation of the inference/discriminator and generative networks in VAE and GAN , whereby the former are anti causal and the latter are causal in line with the ICM framework .",3,2
ShitMyReviews,,Unfortunately I was hoping for more.,2,3
Publons,VMS3-2021-Aug-0563.R1,Accept,3,3
ICLR,HyrCWeWCb_R2,Another issue is the discussion of the entropy regularization in the objective function .,4,2
ShitMyReviews,,The manuscript in the present form is not a review article but is rather a number of research papers stapled together.,3,2
ICLR,SyUkxxZ0b_R1,The authors make a big deal throughout the paper about how close to training data the adversarial examples they can find on the data manifold are .,3,3
ShitMyReviews,,There are not enough headings.,2,1
ShitMyReviews,,"Reviewer 1: 'I really enjoyed reading the introduction'Editor in chief: 'In line with Reviewer 1's comments, the introduction does not a good job of citing the important historical litterature and putting this study in context'",2,3
ICLR,B1CNpYg0-_R3,"While this argument has intuitive appeal , it seems to fly in the face of the fact that actually spelling models , including in this paper , seem to do surprisingly well at learning such arbitrary semantics .",3,2
ICLR,rytstxWAW_R3,Im even slightly suspicious that something might have been amiss in your setup .,2,3
ICLR,ryserbZR-_R1,"Previous publications have used MIL training on tiles with only top level labels [ 1,2 ] and this is essentially an incremental improvement on the MIL approach by using several instances ( both min negative and max positive ) instead of a single instance for backprop , as described in [ 3 ] .",3,1
ShitMyReviews,,The authors need to add a level of puzzlement to their interpretations,4,2
ICLR,HyrCWeWCb_R3,It would be much clearer if a detailed description of the algorithmic procedure is given .,4,3
ICLR,Hyp3i2xRb_R3,"5 ) I think what enables the training of very deep networks or LSTMs on long sequences is the presence of a ( close to- ) identity component in forward/backward propagation , not the gating .",2,1
ShitMyReviews,,"In addition, your figures are provided at 72 dpi, which is fine for children's games, but professional quality images require 300 dpi. Also, the images should be cropped to the actual image area (not embedded in a sea of white space).",3,1
ICLR,B1Lc-Gb0Z_R1,It seems that Re LU and Saturated Re LU are included to show the performance of networks with full precision activation functions ( which is good ) .,3,2
ICLR,B1G6uM0WG_R1,"If it were , this would be a much sought breakthrough .",3,2
ICLR,B12Js_yRb_R2,Strengths - The proposed model begins with reasonable motivation and shows its effectiveness in experiments clearly .,3,3
ICLR,B1Gi6LeRZ_R3,""" The propose data augmentation and BC learning is relevant , much robust than frequency jitter or simple data augmentation .",3,1
ICLR,rywHCPkAW_R1,Unfortunately this experiment seems to be done in a hurry .,2,1
ICLR,Hyp-JJJRW_R3,The training objective is then changed to minimize the sum of the classification loss ( as measured by cross entropy for instance ) and the reconstruction error ( as measured by ell 2 error as is done in training auto encoders ) .,3,1
ICLR,B1CNpYg0-_R3,"In general , for the scope of the paper , it seems like what is here could fairly easily have been made into a short paper for other conferences that have that category .",3,3
ICLR,ryykVe-0W_R3,""" The idea of ICA is constructing a mapping from dependent inputs to outputs ( = the derived features ) such that the outputs are as independent as possible .",3,3
NIPS,375,"The main concern I have is that whether an RBM prior is necessary or the best choice given its complication. To this end, it would be more informative to compare with an auto-regressive prior where each conditional could be relaxed into a concrete distribution (e.g. parameterized by an RNN or (dilated) CNN with comparable parameter size). Since the auto-regressive prior can yield the exact probability, training can be directly performed with the IWAE objective. In terms of the sampling, an auto-regressive prior and an RBM prior could be similarly slow.  Overall, I think this is an interesting paper with positive empirical results. However, whether the RBM prior is a necessary or the best choice is not clear yet.  ",5,1
Publons,ITEES-19-1584.R1,All the important modifications have been incorporated and the paper should be accepted.,3,3
Publons,JCOP-20-035.R1,"The article has social and academic relevance on a topic that has not yet been investigated in the Brazilian context. 
 This study provides data that contribute to the area in question and may contribute to future scientific interventions. 
 Thus, I believe that the changes made by the authors contributed to the theoretical and methodological improvement of the referred manuscript.",3,1
ShitMyReviews,,This review is without a doubt the single most difficult one I have had to write so far.,1,2
Publons,ITEES-20-2083.R1,The reviewer appreciates the authors' revisions. This paper has been replied well.,3,2
ShitMyReviews,,This [sentence] construction should be reserved for police procedurals and bad Mafia movies.,1,1
ICLR,Hymt27b0Z_R1,Detailed Review ====================================================================== Why is this called an online MI estimator ?,2,1
ICLR,HymuJz-A-_R2,Quality : Im intrigued by but a little uncomfortable with the generalization metrics that the authors use .,3,1
NIPS,963,"However, I think that taking bonus as KL-divergence of current policy and past policy is much closer to perturbing policy with a parameter space noise. Both the methods encourage the change in policy function itself, rather than changing the output of policy. I think this point is crucial to the understanding of the proposed bonus formulation and should be properly discussed.",5,2
ShitMyReviews,,The supportive tone of this review... took some effort.,2,1
ShitMyReviews,,"The final section illustrates the paper's poverty. Instead of a summary of the intellectual issues addressed, we are given a series of bland recommendations, the sort of banality that civil servants write for their masters' speeches. It has no place in a serious academic journal.",2,3
ICLR,BJ8c3f-0b_R1,"There are a few things I think could be cleared up , firstly, your ideas and secondly, your muddle.",1,2
ICLR,BJ7d0fW0b_R3,Are these the results after all authors careers had converged ?,1,3
ShitMyReviews,,"The title of the paper indicates that the study was an RCT, but was it?",2,2
ICLR,Hymt27b0Z_R1,The authors present some applications for the proposed estimator .,3,2
ShitMyReviews,,Unless the authors performed some clever pagan ritual before euthanizing the animals I would use 'killed' (or 'euthanized') instead of 'sacrificed',1,1
ICLR,B1DmUzWAW_R2,"In retrospect , I wish the authors would have spent more time doing ablation studies than tackling more task domains .",3,2
ICLR,Hymt27b0Z_R3,More details should be provided on the results presented in table 3 .,4,3
ShitMyReviews,,"Not now, not ever.",1,2
ShitMyReviews,,"The data as presented is not very convincing, even to a believer.",3,1
ICLR,B1EVwkqTW_R1,The writing also needs to be improved .,3,2
ShitMyReviews,,"It will be a fantastic work if the authors could deeply presented the dominating of study discussed in detail and less overstaffed on the majority of studies discussed, which may give necessary details in tables to show their similarities or differences, as well as, advantages or disadvantages by your own letters.",5,1
ICLR,rytstxWAW_R1,I think that batch training of GCN is an important problem and authors have proposed an interesting solution to this problem .,4,1
ICLR,HytSvlWRZ_R1,"Overall , the proposed methods seems to provide little added value to the large amount of predictive methods proposed so far for prediction in neurodegenerative disorders .",4,2
ShitMyReviews,,The authors are perpetuating misguided generalizations in the face of substantial experimental data to the contrary,2,3
ShitMyReviews,,claiming 'insights' that rarely amount to very much beyond the bleeding obvious. [..] the problem with jargon is that 'any idiot can pick it up and have a go,2,2
ICLR,B13njo1R-_R3,"ICLR does not have a strict page limit , and the figures you have are hard to impossible to read .",4,2
ICLR,SyUkxxZ0b_R1,"However , distance between two random points on the sphere is not the right comparison .",3,3
ShitMyReviews,,"The underlying science here is quite interesting, but the presentation does its best to disguise it",3,2
ICLR,B1Lc-Gb0Z_R3,"- The result of this is another algorithm ( I guess the main result of the paper ) , which is strangely presented in the appendix as opposed to the main text , which has no such guarantees .",4,1
ICLR,B16_iGWCW_R2,Thus the learned weak learner at this round will make different mistakes .,4,1
ICLR,B1DmUzWAW_R1,"Overall , the proposed approach is novel and achieves good results on a range of tasks .",3,2
ICLR,B1D6ty-A-_R2,The authors seem to use the idea that solving a GLM problem is a quasi convex optimization problem .,3,3
NIPS,639,Quality - This is a good quality paper; thorough and rigorous for most parts.   Clarity: The paper is clear and well-written.   Originality: The paper presents original work.   Significance: I think the paper presents significant results that are relevant to this community.   Strength: I believe the main strength of the paper is the carefully designed and principle method for obtaining Lipschitz continuous upper and lower bound on the value function of a POMDP.,5,2
ICLR,rkeDJ04Mf_R3,I believe this paper to be borderline .,3,2
Publons,VMS3-2020-Jul-0300,I have attached comments,3,2
ICLR,rylejExC-_R2,Significance : Not very significant .,2,2
Publons,VMS3-2020-Aug-0390.R1,"This article appears as second round of revision from a Morpho Journal. The corrections highlighted on the text are well organized.  
 I have one issue to suggest to authors: bring to the abstract some anatomical description found at the resultds chapter. As large or small sinus, even simple description of the structures.",5,2
Publons,M21030158,"This is very clear manuscript. The major issue is understanding the mechanism. It is salient that predictors of APR are really predictors of two things. One element is APR and the other is likelihood of reporting it. This could be done by examining the predictors of APR in the zol arm (which will include both elements) and placebo arm (which will include mainly a self reporting element) and seeing if the predictors are different. Otherwise, this is an excellent paper.",5,2
Publons,ELE-00963-2021,See attachment,3,1
ICLR,B16_iGWCW_R1,"And crudely speaking , you can think of a class weight to be the expectation of its sample weights and you will end up in a similar setup .",4,1
Publons,WE-19-0166,Please see attached review file.,3,1
ICLR,B17JTOe0-_R3,Dead reckoning,1,1
ShitMyReviews,,They arbitrarily rule out models with interactions but without corresponding main effects. Etc.,2,2
ICLR,Hyp3i2xRb_R2,Where is your background material ?,4,3
ShitMyReviews,,"I am concerned that the author is not getting the advice that she needs in order to produce a publishable paper, and I hope that my comments are read in the spirit in which they are intended; that is, constructive criticism to produce a better final product.",3,2
ICLR,B11bwYgfM_R3,But I believe there are important drawbacks in the framing and basic methodology and evaluation which make the paper unfit for publication in its current form .,2,2
Publons,DOM-19-1315-OP.R1,None,1,3
ShitMyReviews,,The supportive tone of this review… took some effort.,1,2
ShitMyReviews,,"This is a very difficult paper to review, and difficult - even painful - to read",2,3
ShitMyReviews,,"Please also consider making the submission looking less like an advertising booklet rather than a research paper—at least, try not to mention the XXX system in every paragraph.",2,2
ICLR,SySpa-Z0Z_R2,"From theoretical perspective : The main claim in this paper seems to be ( 10 ) , however it is not formalised in any form of theorem , and so -- lacks a lock of strictness .",4,2
Publons,ITEES-20-1765.R1,Thanks for addressing the reviewers' recommendation.,3,3
Publons,VMS3-2019-Nov-0322,"The case report is very interesting and brings new information about co-infections among wild animals. However, I would like to ask why other viruses were not search, such coronavirus, for example. The clinical material was not suitable for cell isolation? Even for pseudorabies virus? Is the case to look for Morbillivirus? . There are questions that not interfere in what have been done, but is important to include.",5,2
ShitMyReviews,,The authors should at least try to read some of the previous work in the field before attempting to solve our problems.,2,2
ShitMyReviews,,"I think this article is carefully argued, but at no moment is it stated that Heidegger was a Nazi.",1,1
ICLR,B14uJzW0b_R1,"The paper reads like a collection of lemmas , with no verbose connection .",3,2
Publons,VMS3-2021-Jun-0421,"1.Are the samples sequenced? If yes, it will be significant with phylogenetic examination of species with other species. Please add this to refill if possible.  
 2.In the working method section, by adding the reference below, the parasitic amount of the slides should be inserted.  
 3.It is better to add a paragraph to the characteristics of Babesia species in the introduction.  
 4.Re-check structurally and grammatically.",5,2
Publons,ACP-2021-9818,"Dear authors. 
  
 Thank you for addressing my points. 
 I have no further comments. 
  
 Kind regards",3,2
Publons,JCOP-21-377,"The article addresses a very sensitive issue with respect to the figure of caregivers in time of COVID-19. Current article, deals accurately and completely with this topic. need for some minor revisions",3,1
ICLR,B1CEaMbR-_R1,Therefore the impact or actual contribution to the ICLR community is very limited .,2,1
ShitMyReviews,,If you want to solve a puzzle you could just do sudoku.,1,1
ICLR,Hyp-JJJRW_R1,Should it allow better classification performance ?,3,3
ICLR,B1CEaMbR-_R3,"Also , it overall rather appears short .",2,3
ShitMyReviews,,This proposal left me cold,1,3
ICLR,rypT3fb0b_R3,"Also , why is the first example reporting accuracy , but the second example reports error ?",4,2
ShitMyReviews,,This sentence is so hard to digest it gave me reflux,2,3
ICLR,HypkN9yRW_R3,"It would be good if authors could comment on how can the proposed model be used to answer natural language questions about images , such as , those in the VQA dataset ( Antol et al . , ICCV 2015 ) .",5,2
ICLR,rytNfI1AZ_R2,"The authors include a few other methods for comparision , but I think it would be very helpful to include also some methods that use a completely different approach to reduce the memory footprint .",4,2
ICLR,B14TlG-RW_R1,"Be consistent, mercurial minds.",1,1
ICLR,rywHCPkAW_R2,The paragraph above Fig3 raises important questions which do not get a satisfactory answer .,3,1
ICLR,BJIgi_eCZ_R1,Not easy to understand nor concrete .,2,3
ShitMyReviews,,"The candidate demonstrates no understanding of the subject matter and his proposal title is misleading. Furthermore, his career prospects are unclear.",2,1
ICLR,ryserbZR-_R1,Automated gastric cancer diagnosis on H&E stained sections ; training a classifier on a large scale with multiple instance machine learning .,3,2
ShitMyReviews,,You were either in a rush or you do not care too much about getting your paper accepted,1,1
ICLR,BJE-4xW0W_R2,"There is a risk that in its current state the paper will not generate much impact , and that would be a pity .",2,3
ShitMyReviews,,"Indeed, by the end of the paper, the reader is left with a feeling of 'so what now?'",3,1
ShitMyReviews,,"Since this is a model formulation paper, there does not need to be aÂ Results section, but if there were, the paper would be easier to follow. There really is no formulation of a model",4,1
ShitMyReviews,,"The turn of phrase ""reaching out into the worldâ€; is again just a vague rhetorical equivocation that is meant to add a semblance of an intellectual air to the text, a rhetorical attempt at being in fashion, but it dissolves only in empty intellectualism.",3,1
ICLR,HypkN9yRW_R2,"In Figure 4 , why are the LSTM32/128 curves different for Length 10 and Length 30 till subproblem index 10 ?",3,2
ICLR,B18WgG-CZ_R2,"I disagree with the response , though , that the authors can lean on other papers to help fill in the ablationevery paper in this area uses subtly different configurations .",3,2
ICLR,HyunpgbR-_R1,"- It is not clear what is really meant with the term "" structured exploration "" .",3,3
Publons,DOM-20-0479-OP,"This is a very interesting article, well written, and covering the most important effect of testosterone therapy on metabolism, body composition and mortality risk. 
  
 However, considering the great change in body weight (-19.3 Â± 0.4) during the treatment it should be explained the nutritional condition or if patients followed a calorie restricted diet and made physical exercise.",4,2
Publons,VMS3-2021-Jul-0515.R1,"have you obtained consent, albeit verbally, from an ethics committee?  
 or specify that the study was carried out, in accordance with European law (O.J. of E.C. L. 358/1 12/18/1986), and USA laws (Animal Welfare Assurance No A5594-01, Department of Health and Human Services, USA) in accordance with the Legislative Decree n. 193 of 6th April 2006.",5,2
ShitMyReviews,,The rest of this review operates from the assumption that this paper is a sincere attempt at scientific evidence and argument.,2,1
ICLR,B1CQGfZ0b_R1,I feel that this is something the authors should at least study the topic themselves and then compare to in the empirical evaluation .,1,1
ShitMyReviews,,it is not clear whether important new insights will be gleaned - it cannot be clear until the final product of his research is reviewed.,2,1
NIPS,808," A weakness is the need of two new hyperparameters, i.e. k and q. Although, it seems that a default choice worked well throughout all experiments.  It would be helpful to know more about the additional computational cost due to the pruning step. How slower is training? Moreover, I think that some details about the proposed alternating optimisation are omitted.",5,1
ICLR,HymYLebCb_R3,"Fundamentally , a convolutional filter stands for a operation within a small neighborhood on the image .",3,2
ICLR,SySpa-Z0Z_R2,""" This paper tries to create a mapping between activation norm penalties and information bottleneck framework using variational dropout framework .",3,2
